date,MaxTemp,MinTemp,tavg,departure,HDD,CDD,Precip,new_snow,snow_depth
1/1/2019,60,40,50,13.9,15,0,0.08,0,0
2/1/2019,41,35,38,2.1,27,0,0,0,0
3/1/2019,45,39,42,6.3,23,0,T,0,0
4/1/2019,47,37,42,6.5,23,0,0,0,0
5/1/2019,47,42,44.5,9.1,20,0,0.45,0,0
6/1/2019,49,32,40.5,5.3,24,0,T,0,0
7/1/2019,35,26,30.5,-4.5,34,0,0,0,0
8/1/2019,47,35,41,6.1,24,0,0.21,0,0
9/1/2019,46,35,40.5,5.8,24,0,0.07,0,0
10/1/2019,35,30,32.5,-2.1,32,0,0,0,0
11/1/2019,32,22,27,-7.5,38,0,0,0,0
12/1/2019,34,21,27.5,-6.9,37,0,0,0,0
13/1/2019,33,25,29,-5.2,36,0,T,T,T
14/1/2019,35,22,28.5,-5.7,36,0,0,0,0
15/1/2019,36,26,31,-3.1,34,0,0,0,0
16/1/2019,40,31,35.5,1.5,29,0,0,0,0
17/1/2019,34,26,30,-3.9,35,0,0,0,0
18/1/2019,42,29,35.5,1.6,29,0,0.03,0.4,T
19/1/2019,39,32,35.5,1.7,29,0,0.34,T,0
20/1/2019,40,16,28,-5.8,37,0,1,T,0
21/1/2019,16,5,10.5,-23.3,54,0,0,0,0
22/1/2019,31,14,22.5,-11.3,42,0,0,0,0
23/1/2019,47,30,38.5,4.7,26,0,T,0,0
24/1/2019,57,35,46,12.2,19,0,1.48,0,0
25/1/2019,40,29,34.5,0.7,30,0,0,0,0
26/1/2019,35,25,30,-3.8,35,0,0,0,0
27/1/2019,49,29,39,5.1,26,0,0,0,0
28/1/2019,39,25,32,-1.9,33,0,0,0,0
29/1/2019,44,25,34.5,0.5,30,0,0.27,T,0
30/1/2019,36,7,21.5,-12.6,43,0,T,0.2,0
31/1/2019,17,3,10,-24.1,55,0,0,0,0
1/2/2019,22,12,17,-17.2,48,0,0,0,0
2/2/2019,35,18,26.5,-7.8,38,0,0,0,0
3/2/2019,52,31,41.5,7.1,23,0,0,0,0
4/2/2019,59,36,47.5,12.9,17,0,0,0,0
5/2/2019,65,36,50.5,15.8,14,0,0,0,0
6/2/2019,46,35,40.5,5.7,24,0,0.47,0,0
7/2/2019,44,37,40.5,5.6,24,0,0.11,0,0
8/2/2019,55,33,44,8.9,21,0,0.37,0,0
9/2/2019,33,24,28.5,-6.7,36,0,0,0,0
10/2/2019,36,24,30,-5.4,35,0,0,0,0
11/2/2019,37,31,34,-1.6,31,0,0,0,0
12/2/2019,35,26,30.5,-5.2,34,0,0.7,1.5,0
13/2/2019,42,33,37.5,1.6,27,0,0.06,T,1
14/2/2019,46,33,39.5,3.4,25,0,0,0,0
15/2/2019,56,41,48.5,12.2,16,0,0,0,0
16/2/2019,46,32,39,2.6,26,0,0,0,0
17/2/2019,37,26,31.5,-5.1,33,0,0.04,0,0
18/2/2019,42,26,34,-2.8,31,0,0.1,0,0
19/2/2019,36,24,30,-7,35,0,0,0,0
20/2/2019,32,26,29,-8.2,36,0,0.59,1.4,0
21/2/2019,52,32,42,4.6,23,0,0.14,T,T
22/2/2019,43,37,40,2.4,25,0,0,0,0
23/2/2019,39,32,35.5,-2.3,29,0,T,0,0
24/2/2019,47,35,41,3,24,0,0.73,0,0
25/2/2019,43,28,35.5,-2.7,29,0,T,0,0
26/2/2019,37,25,31,-7.4,34,0,0,0,0
27/2/2019,29,23,26,-12.7,39,0,0,0,0
28/2/2019,36,26,31,-7.9,34,0,0.03,0.1,T
1/3/2019,36,25,30.5,-8.6,34,0,0.1,1.2,1
2/3/2019,41,30,35.5,-3.8,29,0,0.45,3.8,3
3/3/2019,43,32,37.5,-2.1,27,0,0.51,2.5,T
4/3/2019,39,28,33.5,-6.3,31,0,0.35,2.3,4
5/3/2019,32,21,26.5,-13.5,38,0,0,0,2
6/3/2019,27,19,23,-17.3,42,0,0,0,T
7/3/2019,33,19,26,-14.5,39,0,T,T,T
8/3/2019,38,24,31,-9.7,34,0,0,0,0
9/3/2019,47,34,40.5,-0.5,24,0,0,0,0
10/3/2019,44,34,39,-2.2,26,0,0.66,0.1,T
11/3/2019,53,39,46,4.5,19,0,0,0,0
12/3/2019,43,34,38.5,-3.2,26,0,0,0,0
13/3/2019,46,32,39,-3,26,0,0,0,0
14/3/2019,57,41,49,6.7,16,0,0,0,0
15/3/2019,72,48,60,17.4,5,0,0.27,0,0
16/3/2019,59,37,48,5.2,17,0,0,0,0
17/3/2019,45,34,39.5,-3.6,25,0,0,0,0
18/3/2019,46,33,39.5,-3.9,25,0,0,0,0
19/3/2019,49,36,42.5,-1.2,22,0,0,0,0
20/3/2019,51,37,44,0,21,0,0,0,0
21/3/2019,45,40,42.5,-1.8,22,0,0.69,0,0
22/3/2019,49,38,43.5,-1.1,21,0,0.53,0,0
23/3/2019,48,35,41.5,-3.5,23,0,T,T,0
24/3/2019,60,38,49,3.7,16,0,0,0,0
25/3/2019,58,42,50,4.4,15,0,T,0,0
26/3/2019,48,33,40.5,-5.5,24,0,0,0,0
27/3/2019,44,34,39,-7.3,26,0,0,0,0
28/3/2019,51,37,44,-2.7,21,0,T,0,0
29/3/2019,59,47,53,6,12,0,T,0,0
30/3/2019,65,46,55.5,8.1,9,0,0,0,0
31/3/2019,60,39,49.5,1.8,15,0,0.08,0,0
1/4/2019,46,33,39.5,-8.6,25,0,0,0,0
2/4/2019,50,37,43.5,-5,21,0,T,0,0
3/4/2019,67,41,54,5.1,11,0,T,0,0
4/4/2019,59,44,51.5,2.3,13,0,0,0,0
5/4/2019,45,39,42,-7.6,23,0,0.23,0,0
6/4/2019,66,39,52.5,2.5,12,0,T,0,0
7/4/2019,63,47,55,4.6,10,0,T,0,0
8/4/2019,79,47,63,12.2,2,0,0.25,0,0
9/4/2019,50,43,46.5,-4.7,18,0,0.02,0,0
10/4/2019,58,44,51,-0.6,14,0,0,0,0
11/4/2019,52,40,46,-6,19,0,0,0,0
12/4/2019,66,45,55.5,3.1,9,0,0.48,0,0
13/4/2019,75,58,66.5,13.7,0,2,0.28,0,0
14/4/2019,70,56,63,9.9,2,0,T,0,0
15/4/2019,62,45,53.5,0,11,0,0.78,0,0
16/4/2019,64,44,54,0.1,11,0,T,0,0
17/4/2019,61,47,54,-0.3,11,0,0.01,0,0
18/4/2019,63,50,56.5,1.8,8,0,T,0,0
19/4/2019,76,55,65.5,10.4,0,1,0.1,0,0
20/4/2019,63,54,58.5,3.1,6,0,0.58,0,0
21/4/2019,64,51,57.5,1.7,7,0,T,0,0
22/4/2019,60,49,54.5,-1.7,10,0,0.29,0,0
23/4/2019,75,54,64.5,8,0,0,0.1,0,0
24/4/2019,68,54,61,4.1,4,0,0.01,0,0
25/4/2019,63,49,56,-1.2,9,0,0.01,0,0
