,month,day,temp_dailyMin,MinTemp,temp_dailyMean,MaxTemp,temp_7h,temp_14h,temp_19h,hum_dailyMean,hum_7h,hum_14h,hum_19h,sun_hours,skyCover_7h,skyCover_14h,skyCover_19h,wind_degrees,wind_mSec,Precip,year
0,1,1,-4.3,-6.4,-1.8,0.8,-2.8,0.6,-0.9,90,88,89,94,0.1,10,10,9,329,6.4,0.4,2016
1,1,2,-4,-2.1,-1.1,1.9,-1.1,-3.4,-3.9,92,96,92,89,0,10,10,10,135,13.6,0,2016
2,1,3,-6.2,-5.5,-5,-3.8,-5.8,-5.2,-5.2,76,79,75,73,0,10,10,10,150,13.8,0,2016
3,1,4,-7.7,-6.1,-6.3,-4.8,-6,-6.5,-7.7,86,82,86,90,0,9,10,10,145,15.1,4.6,2016
4,1,5,-7.7,-8.7,-6.6,-5.4,-7.1,-6.4,-6.1,91,89,91,92,0.5,8,10,10,178,6.3,2.6,2016
5,1,6,-6.1,-5.5,-4,-1.9,-3.9,-2.3,-2.1,97,98,96,96,0,10,10,10,181,7.6,0,2016
6,1,7,-4.5,-8.6,-1.8,0.9,-2.3,0.6,0.3,91,93,88,92,0,7,10,10,27,5,0,2016
7,1,8,-2.9,-6.8,3.1,9,-2.6,8.9,3.7,76,98,56,74,6.7,6,1,9,272,14.7,0,2016
8,1,9,-0.8,-3.3,1.5,3.7,0.8,,1.1,100,100,100,100,0,10,10,10,122,5.1,4.7,2016
9,1,10,0.8,-0.2,2.2,3.6,,3.5,1.3,98,100,94,100,0,10,10,10,150,5.8,4.7,2016
10,1,11,1,1,4.3,7.6,,3.4,7.5,93,100,96,82,0,10,10,10,285,15.8,1.1,2016
11,1,12,5.7,4.8,8,10.3,6.6,9.6,6,67,69,58,73,5.4,7,6,7,271,20.2,0,2016
12,1,13,4.4,2.5,6.1,7.7,4.8,6.1,5.3,72,72,69,74,4.7,3,7,3,279,25.3,0.2,2016
13,1,14,2.7,1.4,5,7.3,4.1,6.6,3,61,63,46,73,7.5,9,1,1,285,17.8,0.2,2016
14,1,15,0.2,-2.3,3.2,6.1,3.2,5.1,1.8,67,68,58,76,1.3,10,4,2,294,15.7,0.2,2016
15,1,16,0.6,-0.3,1.3,2,1,1.5,0.6,71,84,60,69,2.9,10,9,9,272,12.5,0.2,2016
16,1,17,-2.7,-3.4,-1.1,0.6,-0.7,-0.2,-2.7,67,80,56,64,3.5,9,3,6,351,12.2,0,2016
17,1,18,-5.8,-8.2,-3.1,-0.4,-5.7,,-4.5,68,82,54,68,7.6,2,3,1,354,9.3,0,2016
18,1,19,-6.8,-9.2,-4.8,-2.7,-6.3,-3.1,-3.6,76,82,71,75,3.5,3,8,9,69,4.4,0,2016
19,1,20,-7.3,-10.7,-3.3,0.7,-5.4,0.5,0,64,81,58,54,4.2,0,9,9,267,15.9,1.2,2016
20,1,21,-3.5,-2.4,-1.5,0.6,-1.6,-0.8,-3.5,65,68,61,66,2.3,9,8,4,264,18,1.2,2016
21,1,22,-9.6,-14.2,-5.5,-1.4,-9.6,-1.6,-4.2,74,90,59,72,8.5,2,0,0,151,6.2,0,2016
22,1,23,-7.1,-11.4,-5.2,-3.3,-6.5,-3.9,-3.3,89,85,88,94,0.2,7,10,10,271,11,8.5,2016
23,1,24,-3.3,-2.2,2.1,7.5,4.6,6.4,4,72,71,66,78,3,9,9,7,300,14,3.5,2016
24,1,25,0.8,-1.9,4.5,8.1,4.2,7.1,7.9,88,88,90,87,0,10,10,10,275,12.8,3.5,2016
25,1,26,5.2,1.2,8.9,12.6,9.8,12.6,5.2,68,63,53,87,2.8,7,9,0,281,17.3,0,2016
26,1,27,-0.8,-3,7.3,15.3,-0.2,15.1,12.5,68,98,51,55,2.9,8,9,8,261,12.1,0,2016
27,1,28,4.5,2.4,10.5,16.4,4.9,15.1,8.9,67,85,45,72,1.8,9,8,9,270,19.6,5.9,2016
28,1,29,5.2,4.8,8.1,11,5.4,11,7.6,81,96,66,81,3.7,10,5,0,282,16.4,5.9,2016
29,1,30,0.9,-2,5,9,1.1,4,2.6,95,98,90,98,5.8,1,9,10,168,5.5,0,2016
30,1,31,1.7,1.1,5.8,9.8,6.2,6.7,5,74,73,68,81,2,9,9,9,260,25.5,7.5,2016
31,2,1,4.5,3.1,9.1,13.7,7.4,13.3,12.9,84,95,88,70,1.4,10,9,1,277,16.3,6.4,2016
32,2,2,8.1,9.1,11,13.8,10.5,12.2,,72,69,64,82,0,9,9,2,284,17.6,0,2016
33,2,3,2.6,2,7.2,11.8,10.6,4.3,3.8,82,65,91,90,0,7,10,10,279,14.9,9.2,2016
34,2,4,2.5,1.3,4.6,6.7,2.6,6.5,40,68,74,58,72,5,8,9,9,289,18.6,1.3,2016
35,2,5,2.6,1.5,4.6,6.6,3.5,6.3,3.6,68,79,49,76,1.4,9,9,1,305,11.6,1.3,2016
36,2,6,0.6,-2.4,5.1,9.5,0.6,9.5,6.1,77,95,61,74,9,1,6,0,129,8.9,0,2016
37,2,7,2.8,0.6,8.4,14,3.1,13.9,,64,86,46,61,8.2,6,7,8,152,10,0,2016
38,2,8,6.9,4,9.3,11.7,8.1,10.9,11,68,68,67,69,2.5,9,8,9,268,12,0.5,2016
39,2,9,6.9,2.9,10.1,13.3,7.2,11.7,11.9,69,81,66,61,3.1,9,9,5,298,17.3,1.5,2016
40,2,10,3.3,3.7,7.6,11.9,4.6,4.7,4.4,76,87,77,64,0.1,10,10,9,269,18.4,4.9,2016
41,2,11,3.3,1.9,5.4,7.4,3.3,7.1,3.4,68,74,58,72,6.1,5,3,0,274,21.3,0,2016
42,2,12,-1.1,-4.4,2.2,5.5,-0.8,4.5,3.8,81,91,71,80,3.6,7,9,4,165,11.8,0,2016
43,2,13,2.5,1.8,5.2,7.8,2.8,7.7,5,73,83,60,76,5.2,10,2,8,150,8.3,0,2016
44,2,14,1.6,-1.2,5.2,8.7,1.9,6.8,7.9,90,97,81,93,0.2,10,10,10,275,10.3,6.8,2016
45,2,15,5.3,3.2,6.8,8.3,5.9,8,7.4,76,83,71,73,0,10,10,9,293,11.4,4.2,2016
46,2,16,4.3,3.9,6.1,7.8,4.4,7.1,4.9,71,73,66,74,1.6,10,9,8,338,9.7,0,2016
